joplin,joplin-desktop,Note taking app open source (AUR)
keepass,keepassxc,Secure password management
keyring,gnome-keyring,Gnome component to store passwords
keyring,libsecret,Library for application to use gnome keyring
keyring,seahorse,Gnome keyring GUI
language,anki,Powerful intelligent flash cards (AUR)
language,ccls,C/C++/ObjC language server supporting cross references, hierarchies, completion and semantic highlighting
language,clang,C language family frontend for LLVM
language,dictd,Dictionary database server
language,exercism,Command line tool for exercism.io
language,groff,GNU troff text-formatting system
language,ibazel,Tool for building Bazel targets when source files change.
language,jdk11-openjdk,OpenJDK Java 11 development kit
language,lldb,Next generation, high-performance debugger
language,lld,Linker from the LLVM project
language,llvm10,Collection of modular and reusable compiler and toolchain technologies
language,lua-lsp-git,A Lua language server
language,lvm2,Logical Volume Manager 2 utilities
language,minted,Syntax highlighted source code for LaTeX
language,mvnvm,Maven version manager
language,pyenv,Easily switch between multiple versions of Python
language,pyenv-virtualenv,pyenv plugin to manage virtualenv (a.k.a. python-virtualenv)
language,python2-pycparser,C parser and AST generator written in Python
language,python-protobuf,Python 3 bindings for Google Protocol Buffers
language,python-pynvim,Python client for Neovim
language,python-virtualenv,Virtual Python Environment builder
language,rust-analyzer,Rust compiler front-end for IDEs
language,tcl,Powerful, easy-to-learn dynamic programming language
language,texinfo,GNU documentation system for on-line information and printed output
language,texlive-basic,TeX Live - Essential programs and files
language,texlive-bin,TeX Live binaries
language,texlive-latexextra,TeX Live - LaTeX additional packages
language,texlive-pictures,TeX Live - Graphics, pictures, diagrams
language,tk,A windowing toolkit for use with tcl
language,translate-shell,Command line translator
language,tree-sitter,Incremental parsing library
language,ttf-dejavu,Font family based on the Bitstream Vera Fonts with a wider range of characters
language,typescript-language-server,Language Server Protocol (LSP) implementation for TypeScript using tsserver
multimedia,deadbeef,Clone of Foobar2000 music player
multimedia,ffmpeg,Complete solution to record stream audio / video
multimedia,lltag,Tag Manager (AUR)
multimedia,mpv,Free video player
neovim,neovim,Editor... and much more
neovim,python2-neovim-git,Python client to neovim, git version. Use this to keep up with neovim-git
neovim,python2-neovim,Python2 for neovim
neovim,python-neovim,Python for neovim
neovim,ruby-neovim,Ruby for neovim (AUR)
neovim,vim,Vi Improved, a highly configurable, improved version of the vi text editor
network,dhclient,A standalone DHCP client from the dhcp package
network,dmidecode,Desktop Management Interface table related utilities
network,dnsmasq,Lightweight, easy to configure DNS forwarder and DHCP server
network,iftop,Display bandwidth usage on an interface
network,inetutils,A collection of common network programs
network,iwd,Internet Wireless Daemon
network,lsof,Lists open files for running Unix processes
network,net-tools,Include netstats and others
network,network-manager-applet,Applet for managing network connections
network,networkmanager,Network manager
network,networkmanager-openconnect,NetworkManager VPN plugin for OpenConnect
network,nmap,Network mapper (comes with ncat too)
network,openvpn,VPN
network,traceroute,Tracks the route taken by packets over an IP network
network,wget,Tool for retrieving files using HTTP HTTPS FTP and FTPS
newsboat,newsboat,RSS feed reader
nextcloud,nextcloud-client,Client to nextcloud
notify,dunst,Notification system
notify,libnotify,Notifier
obsidian,obsidian,A powerful knowledge base that works on top of a local folder of plain text Markdown files
obsidian,obsidian-icon-theme,Obsidian icon theme
office,calibre,Managing ebooks
office,libreoffice,Office suite
office,okular,PDF reader
office,pdfarranger,Merge PDFs
office,scribus,Document editing software
office,zathura-pdf-mupdf,Highly customizable PDF reader
pandoc,lua-lpeg,Necessary library for Pandoc Lua filters
pandoc,pandoc,Document converter
pandoc,python-panflute,Useful for some Pandoc python scripts
pandoc,texlive-most-doc,Most doc for LaTex (AUR)
pandoc,texlive-most,Tex Document Production System
photography,breeze-icons,Icons for digikam
photography,darktable,RAW developer
photography,digikam,Photo organizer and developer
photography,displaycal,Display calibration software
photography,xf86-input-wacom,Drivers for Wacom tablet
programming,bash-language-server,bash language server (AUR)
programming,clj-kondo-bin,Clojure static analysis
programming,clojure-lsp-bin,Clojure language server (AUR)
programming,composer,Dependency management for PHP
programming,ctags,Generates an index file of language objects found in source files
programming,docker,Build ship and run distributed applications
programming,docker-compose,Orchestration for docker
programming,go,Golang programming language
programming,golangci-lint,Fast linter for Golang (AUR)
programming,gopls,Golang language server
programming,goreleaser,Release tool for Golang (AUR)
programming,go-tools,Tools for Golang
programming,leiningen,REPL for Clojure
programming,ltex-ls-bin,Language server for grammar (AUR)
programming,lua-language-server,Lua language server
programming,lua,Lua programming language
programming,npm,Infamous javascript package manager
programming,nvm,Change node version (AUR)
programming,phpmd,PHP mess detector (AUR)
programming,php,PHP programming language
programming,phpstan,PHP static analysis tool (AUR)
programming,python-lsp-server,Python language server (AUR)
programming,racket,Language Racket
programming,rlwrap,Intercepting user input (used for Clojure cli)
programming,ruby,Ruby programming language
programming,shellcheck-bin,linter for the shell (AUR)
programming,sql-language-server,sql language server (AUR)
programming,vint,Linter for VimScript
programming,vscode-eslint-language-server,eslint language server (AUR)
programming,yamllint,Linter for yaml
programming,yarn,Wrapper for npm
qutebrowser,qutebrowser,Mouseless browser
